Id,Nombre,Descripcion,Estado
447.0,hombre,estilo urbano cómodo para el uso diario,inactivo
448.0,hombre,modelos pensados para hombres con ajuste masculino,activo
449.0,deportivo,opciones resistentes y cómodas para niños,inactivo
450.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
451.0,deportivo,estilo urbano cómodo para el uso diario,activo
453.0,mujer,calzado y ropa diseñada para actividad física y deporte,inactivo
454.0,casual,calzado elegante y formal para ocasiones especiales,activo
455.0,niños,opciones resistentes y cómodas para niños,activo
457.0,formal,diseños femeninos con estilo y confort,inactivo
459.0,casual,estilo urbano cómodo para el uso diario,inactivo
461.0,deportivo,estilo urbano cómodo para el uso diario,activo
462.0,hombre,opciones resistentes y cómodas para niños,activo
463.0,deportivo,diseños femeninos con estilo y confort,inactivo
464.0,casual,opciones resistentes y cómodas para niños,inactivo
465.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
467.0,formal,calzado elegante y formal para ocasiones especiales,inactivo
468.0,hombre,calzado elegante y formal para ocasiones especiales,inactivo
469.0,casual,estilo urbano cómodo para el uso diario,inactivo
470.0,niños,calzado y ropa diseñada para actividad física y deporte,inactivo
472.0,niños,diseños femeninos con estilo y confort,inactivo
478.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
479.0,hombre,diseños femeninos con estilo y confort,inactivo
481.0,niños,calzado y ropa diseñada para actividad física y deporte,activo
483.0,formal,estilo urbano cómodo para el uso diario,activo
484.0,niños,calzado y ropa diseñada para actividad física y deporte,activo
485.0,casual,calzado y ropa diseñada para actividad física y deporte,inactivo
487.0,deportivo,opciones resistentes y cómodas para niños,activo
489.0,formal,calzado elegante y formal para ocasiones especiales,inactivo
490.0,hombre,estilo urbano cómodo para el uso diario,activo
492.0,mujer,modelos pensados para hombres con ajuste masculino,activo
493.0,formal,calzado elegante y formal para ocasiones especiales,activo
494.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
497.0,deportivo,opciones resistentes y cómodas para niños,activo
499.0,mujer,opciones resistentes y cómodas para niños,inactivo
502.0,mujer,diseños femeninos con estilo y confort,inactivo
503.0,hombre,diseños femeninos con estilo y confort,activo
504.0,formal,opciones resistentes y cómodas para niños,activo
506.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
507.0,casual,estilo urbano cómodo para el uso diario,inactivo
508.0,niños,calzado elegante y formal para ocasiones especiales,inactivo
509.0,niños,calzado y ropa diseñada para actividad física y deporte,activo
510.0,formal,diseños femeninos con estilo y confort,inactivo
511.0,deportivo,estilo urbano cómodo para el uso diario,inactivo
513.0,casual,calzado y ropa diseñada para actividad física y deporte,inactivo
514.0,deportivo,modelos pensados para hombres con ajuste masculino,inactivo
515.0,mujer,calzado y ropa diseñada para actividad física y deporte,inactivo
517.0,casual,estilo urbano cómodo para el uso diario,activo
518.0,formal,calzado elegante y formal para ocasiones especiales,activo
520.0,casual,estilo urbano cómodo para el uso diario,activo
522.0,mujer,modelos pensados para hombres con ajuste masculino,inactivo
523.0,hombre,diseños femeninos con estilo y confort,activo
524.0,mujer,modelos pensados para hombres con ajuste masculino,inactivo
526.0,mujer,estilo urbano cómodo para el uso diario,activo
527.0,hombre,diseños femeninos con estilo y confort,inactivo
528.0,hombre,opciones resistentes y cómodas para niños,inactivo
529.0,formal,modelos pensados para hombres con ajuste masculino,inactivo
530.0,hombre,calzado y ropa diseñada para actividad física y deporte,activo
531.0,deportivo,diseños femeninos con estilo y confort,inactivo
532.0,niños,diseños femeninos con estilo y confort,activo
536.0,casual,diseños femeninos con estilo y confort,activo
538.0,niños,opciones resistentes y cómodas para niños,activo
539.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
540.0,mujer,estilo urbano cómodo para el uso diario,activo
542.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
544.0,niños,calzado elegante y formal para ocasiones especiales,inactivo
545.0,deportivo,estilo urbano cómodo para el uso diario,inactivo
546.0,mujer,calzado elegante y formal para ocasiones especiales,inactivo
547.0,niños,modelos pensados para hombres con ajuste masculino,activo
548.0,hombre,estilo urbano cómodo para el uso diario,activo
549.0,formal,calzado y ropa diseñada para actividad física y deporte,activo
550.0,deportivo,estilo urbano cómodo para el uso diario,inactivo
551.0,hombre,estilo urbano cómodo para el uso diario,inactivo
552.0,deportivo,diseños femeninos con estilo y confort,inactivo
553.0,hombre,calzado elegante y formal para ocasiones especiales,activo
554.0,formal,diseños femeninos con estilo y confort,inactivo
555.0,deportivo,opciones resistentes y cómodas para niños,inactivo
557.0,mujer,modelos pensados para hombres con ajuste masculino,inactivo
558.0,niños,calzado elegante y formal para ocasiones especiales,activo
559.0,niños,opciones resistentes y cómodas para niños,inactivo
560.0,deportivo,modelos pensados para hombres con ajuste masculino,inactivo
561.0,casual,diseños femeninos con estilo y confort,activo
562.0,deportivo,modelos pensados para hombres con ajuste masculino,inactivo
563.0,niños,opciones resistentes y cómodas para niños,inactivo
564.0,deportivo,diseños femeninos con estilo y confort,activo
565.0,formal,estilo urbano cómodo para el uso diario,inactivo
566.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
568.0,niños,modelos pensados para hombres con ajuste masculino,inactivo
569.0,deportivo,calzado y ropa diseñada para actividad física y deporte,activo
570.0,formal,calzado elegante y formal para ocasiones especiales,activo
571.0,casual,calzado elegante y formal para ocasiones especiales,activo
572.0,niños,opciones resistentes y cómodas para niños,activo
573.0,niños,modelos pensados para hombres con ajuste masculino,activo
576.0,deportivo,estilo urbano cómodo para el uso diario,activo
577.0,casual,estilo urbano cómodo para el uso diario,inactivo
579.0,formal,diseños femeninos con estilo y confort,activo
580.0,formal,estilo urbano cómodo para el uso diario,inactivo
581.0,formal,opciones resistentes y cómodas para niños,activo
582.0,formal,modelos pensados para hombres con ajuste masculino,activo
584.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
585.0,formal,opciones resistentes y cómodas para niños,inactivo
586.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
587.0,deportivo,estilo urbano cómodo para el uso diario,activo
588.0,casual,modelos pensados para hombres con ajuste masculino,inactivo
589.0,mujer,calzado elegante y formal para ocasiones especiales,activo
591.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
596.0,niños,opciones resistentes y cómodas para niños,activo
597.0,casual,opciones resistentes y cómodas para niños,activo
598.0,mujer,estilo urbano cómodo para el uso diario,inactivo
600.0,formal,calzado y ropa diseñada para actividad física y deporte,activo
